"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 18:29:34 CST 2020","Tue Jan 07 18:29:35 CST 2020","180","testcase","test_QuestionsPages","TestClass","","","test_success_category_plate",""
"passed","Tue Jan 07 18:29:34 CST 2020","Tue Jan 07 18:29:34 CST 2020","144","testcase","test_QuestionsPages","TestClass","","","test_success_noparams",""
"passed","Tue Jan 07 18:29:35 CST 2020","Tue Jan 07 18:29:35 CST 2020","163","testcase","test_QuestionsPages","TestClass","","","test_success_category_stock",""
"passed","Tue Jan 07 18:29:34 CST 2020","Tue Jan 07 18:29:34 CST 2020","152","testcase","test_QuestionsPages","TestClass","","","test_success_isKeyword",""
"passed","Tue Jan 07 18:29:35 CST 2020","Tue Jan 07 18:29:35 CST 2020","157","testcase","test_QuestionsPages","TestClass","","","test_success_category_index",""
"passed","Tue Jan 07 18:29:32 CST 2020","Tue Jan 07 18:29:33 CST 2020","465","testcase","test_HotQuestions","TestClass","","","test_success",""
"passed","Tue Jan 07 18:29:34 CST 2020","Tue Jan 07 18:29:34 CST 2020","178","testcase","test_QuestionsPages","TestClass","","","test_success_isExample",""
"passed","Tue Jan 07 18:29:34 CST 2020","Tue Jan 07 18:29:34 CST 2020","164","testcase","test_QuestionsPages","TestClass","","","test_success_isHot",""
"passed","Tue Jan 07 18:29:33 CST 2020","Tue Jan 07 18:29:34 CST 2020","766","testcase","test_QueryAiInfotByAppCode","TestClass","","","test_success",""
"failed","Tue Jan 07 18:29:32 CST 2020","Tue Jan 07 18:29:32 CST 2020","732","testcase","test_Chat","TestClass","","","test_success",""
